Date,Open,High,Low,Close,Volume
2024-07-02 16:47:00,226.76,227.04,226.76,226.97,9393
2024-07-02 16:48:00,226.92,227.16,226.9,227.03,6852
2024-07-02 16:49:00,227.09,227.15,226.89,227.04,7614
2024-07-02 16:50:00,227.07,227.15,226.84,226.9,4616
2024-07-02 16:51:00,227.0,227.16,226.77,226.78,5023
2024-07-02 16:52:00,226.9,227.06,226.58,226.73,5172
2024-07-02 16:53:00,226.75,226.92,226.65,226.91,2859
2024-07-02 16:54:00,226.92,226.92,226.86,226.86,2183
2024-07-02 16:55:00,226.79,226.81,226.65,226.65,2981
2024-07-02 16:56:00,226.7,226.97,226.7,226.97,3843
2024-07-02 16:57:00,226.97,227.1,226.8,227.1,5507
2024-07-02 16:58:00,227.12,227.35,227.08,227.3,13014
2024-07-02 16:59:00,227.35,227.4,227.19,227.34,7428
2024-07-02 17:00:00,227.29,227.3,227.08,227.25,6146
2024-07-02 17:01:00,227.35,227.46,227.32,227.4,3596
2024-07-02 17:02:00,227.3,227.44,227.23,227.44,5017
2024-07-02 17:03:00,227.35,227.5,227.21,227.22,4526
2024-07-02 17:04:00,227.21,227.39,227.16,227.39,2623
2024-07-02 17:05:00,227.25,227.28,227.17,227.17,2827
2024-07-02 17:06:00,227.32,227.36,227.12,227.12,2895
2024-07-02 17:07:00,227.27,227.27,226.94,226.94,5498
2024-07-02 17:08:00,227.05,227.05,226.7,227.01,9525
2024-07-02 17:09:00,227.02,227.23,226.83,227.23,4343
2024-07-02 17:10:00,227.25,227.34,227.1,227.34,5072
2024-07-02 17:11:00,227.28,227.35,227.0,227.23,4807
2024-07-02 17:12:00,227.23,227.46,227.23,227.4,6274
2024-07-02 17:13:00,227.48,227.7,227.48,227.7,5385
2024-07-02 17:14:00,227.68,227.69,227.55,227.6,4732
2024-07-02 17:15:00,227.6,227.6,227.3,227.48,4228
2024-07-02 17:16:00,227.6,227.68,227.25,227.25,3959
2024-07-02 17:17:00,227.22,227.26,227.11,227.11,2763
2024-07-02 17:18:00,227.17,227.41,227.17,227.38,5082
2024-07-02 17:19:00,227.62,227.71,227.32,227.59,3595
2024-07-02 17:20:00,227.68,227.98,227.59,227.9,10193
2024-07-02 17:21:00,227.98,228.03,227.83,227.93,6437
2024-07-02 17:22:00,227.94,228.01,227.8,227.8,3656
2024-07-02 17:23:00,227.77,227.87,227.67,227.82,1439
2024-07-02 17:24:00,227.76,227.87,227.7,227.73,3790
2024-07-02 17:25:00,227.71,227.89,227.71,227.75,4538
2024-07-02 17:26:00,227.86,228.03,227.86,227.89,3647
2024-07-02 17:27:00,227.98,227.98,227.39,227.4,7415
2024-07-02 17:28:00,227.56,227.74,227.56,227.74,1403
2024-07-02 17:29:00,227.74,227.78,227.57,227.68,3540
2024-07-02 17:30:00,227.67,227.68,227.36,227.4,5396
2024-07-02 17:31:00,227.31,227.6,227.31,227.35,1907
2024-07-02 17:32:00,227.51,227.53,227.21,227.32,2258
2024-07-02 17:33:00,227.53,227.64,227.42,227.53,7855
2024-07-02 17:34:00,227.58,227.71,227.43,227.5,3952
2024-07-02 17:35:00,227.47,227.65,227.41,227.41,1151
2024-07-02 17:36:00,227.5,227.63,227.4,227.5,3188
2024-07-02 17:37:00,227.5,227.5,227.31,227.39,2287
2024-07-02 17:38:00,227.31,227.37,227.14,227.37,4360
2024-07-02 17:39:00,227.44,227.9,227.44,227.85,12168
2024-07-02 17:40:00,227.76,228.21,227.76,228.03,12920
2024-07-02 17:41:00,227.94,228.11,227.69,227.74,6456
2024-07-02 17:42:00,227.62,227.87,227.58,227.75,3613
2024-07-02 17:43:00,227.64,227.86,227.64,227.69,3862
2024-07-02 17:44:00,227.6,227.75,227.6,227.67,1761
2024-07-02 17:45:00,227.74,227.74,227.56,227.64,2403
2024-07-02 17:46:00,227.64,227.8,227.64,227.8,3931
2024-07-02 17:47:00,227.78,227.99,227.75,227.88,8226
2024-07-02 17:48:00,227.99,228.46,227.96,228.46,9475
2024-07-02 17:49:00,228.31,228.64,228.31,228.61,11809
2024-07-02 17:50:00,228.6,229.47,228.6,229.22,35801
2024-07-02 17:51:00,229.3,229.44,228.8,228.81,14223
2024-07-02 17:52:00,228.93,229.28,228.62,228.62,9848
2024-07-02 17:53:00,228.98,228.98,228.51,228.78,4386
2024-07-02 17:54:00,228.88,229.05,228.73,229.05,5325
2024-07-02 17:55:00,229.09,229.38,228.87,229.26,6738
2024-07-02 17:56:00,229.4,229.49,229.21,229.38,5674
2024-07-02 17:57:00,229.32,229.61,229.25,229.6,7074
2024-07-02 17:58:00,229.6,229.6,229.43,229.57,5650
2024-07-02 17:59:00,229.56,229.56,229.15,229.32,9520
2024-07-02 18:00:00,229.38,229.53,229.24,229.5,3970
2024-07-02 18:01:00,229.44,229.49,229.38,229.39,3235
2024-07-02 18:02:00,229.38,229.5,229.34,229.44,5067
2024-07-02 18:03:00,229.4,229.44,229.31,229.4,2444
2024-07-02 18:04:00,229.29,229.63,229.29,229.51,22071
2024-07-02 18:05:00,229.4,229.67,229.4,229.64,4676
2024-07-02 18:06:00,229.5,229.66,229.5,229.5,3223
2024-07-02 18:07:00,229.56,229.56,229.47,229.53,2534
2024-07-02 18:08:00,229.43,229.6,229.43,229.43,3340
2024-07-02 18:09:00,229.52,229.52,229.14,229.32,7975
2024-07-02 18:10:00,229.2,229.31,229.17,229.31,3795
2024-07-02 18:11:00,229.37,229.37,229.25,229.32,2067
2024-07-02 18:12:00,229.32,229.59,229.2,229.52,5344
2024-07-02 18:13:00,229.51,229.6,229.35,229.6,5983
2024-07-02 18:14:00,229.5,229.65,229.41,229.43,5615
2024-07-02 18:15:00,229.51,229.62,229.36,229.41,4124
2024-07-02 18:16:00,229.41,229.41,229.25,229.25,2486
2024-07-02 18:17:00,229.25,229.34,229.25,229.28,2486
2024-07-02 18:18:00,229.28,229.28,228.77,229.0,9683
2024-07-02 18:19:00,229.14,229.17,228.95,228.96,2422
2024-07-02 18:20:00,229.0,229.25,228.96,229.07,4496
2024-07-02 18:21:00,229.09,229.58,229.09,229.58,3350
2024-07-02 18:22:00,229.65,229.65,229.42,229.52,4566
2024-07-02 18:23:00,229.55,229.86,229.55,229.76,6521
2024-07-02 18:24:00,229.81,230.0,229.77,229.96,10358
2024-07-02 18:25:00,229.9,230.0,229.63,229.69,15905
2024-07-02 18:26:00,229.68,229.68,229.55,229.55,2324
2024-07-02 18:27:00,229.65,229.65,229.44,229.44,1369
2024-07-02 18:28:00,229.45,229.55,229.45,229.5,2558
2024-07-02 18:29:00,229.4,229.45,229.25,229.44,3003
2024-07-02 18:30:00,229.27,229.59,229.27,229.29,2999
2024-07-02 18:31:00,229.14,229.42,229.14,229.25,12509
2024-07-02 18:32:00,229.3,229.4,229.12,229.39,7142
2024-07-02 18:33:00,229.43,229.55,229.35,229.36,5743
2024-07-02 18:34:00,229.46,229.46,229.1,229.15,5450
2024-07-02 18:35:00,229.21,229.38,229.21,229.38,1337
2024-07-02 18:36:00,229.27,229.29,229.26,229.26,871
2024-07-02 18:37:00,229.11,229.36,229.11,229.36,2714
2024-07-02 18:38:00,229.28,229.38,229.28,229.3,1474
2024-07-02 18:39:00,229.3,229.3,229.0,229.06,7663
2024-07-02 18:40:00,228.94,229.04,228.81,229.0,6786
2024-07-02 18:41:00,228.99,229.0,228.99,229.0,3015
2024-07-02 18:42:00,229.11,229.17,229.11,229.11,1831
2024-07-02 18:43:00,229.26,229.3,229.17,229.3,4129
2024-07-02 18:44:00,229.29,229.52,229.28,229.52,3928
2024-07-02 18:45:00,229.68,229.93,229.56,229.9,9318
2024-07-02 18:46:00,229.84,230.04,229.76,229.9,29459
2024-07-02 18:47:00,229.94,230.0,229.86,230.0,2553
2024-07-02 18:48:00,229.84,229.9,229.76,229.88,3484
2024-07-02 18:49:00,229.99,229.99,229.78,229.8,1168
2024-07-02 18:50:00,229.78,229.86,229.76,229.76,3393
2024-07-02 18:51:00,229.76,229.83,229.64,229.76,15424
2024-07-02 18:52:00,229.67,229.77,229.67,229.7,929
2024-07-02 18:53:00,229.79,229.87,229.71,229.78,1768
2024-07-02 18:54:00,229.7,229.9,229.7,229.9,4397
2024-07-02 18:55:00,229.96,229.96,229.88,229.88,984
2024-07-02 18:56:00,230.0,230.1,229.98,230.07,7376
2024-07-02 18:57:00,230.06,230.06,229.92,229.93,3225
2024-07-02 18:58:00,229.92,229.92,229.67,229.67,4674
2024-07-02 18:59:00,229.69,229.93,229.65,229.77,4105
2024-07-02 19:00:00,229.78,230.05,229.78,230.0,4814
2024-07-02 19:01:00,229.94,230.0,229.8,230.0,2255
2024-07-02 19:02:00,230.0,230.0,229.61,229.78,14133
2024-07-02 19:03:00,229.74,229.84,229.07,229.07,11740
2024-07-02 19:04:00,229.35,229.35,229.01,229.2,3018
2024-07-02 19:05:00,229.19,229.25,229.05,229.25,1449
2024-07-02 19:06:00,229.14,229.24,229.06,229.14,2848
2024-07-02 19:07:00,229.14,229.35,229.14,229.31,3685
2024-07-02 19:08:00,229.27,229.37,229.0,229.09,4153
2024-07-02 19:09:00,229.27,229.32,229.14,229.14,1357
2024-07-02 19:10:00,229.16,229.16,229.0,229.02,4122
2024-07-02 19:11:00,229.12,229.15,228.94,228.94,2881
2024-07-02 19:12:00,228.9,228.96,228.88,228.94,1837
2024-07-02 19:13:00,228.88,229.25,228.82,229.15,7858
2024-07-02 19:14:00,229.16,229.55,229.07,229.51,6522
2024-07-02 19:15:00,229.45,229.45,229.08,229.14,4028
2024-07-02 19:16:00,229.2,229.2,229.0,229.03,1944
2024-07-02 19:17:00,229.0,229.3,229.0,229.09,3780
2024-07-02 19:18:00,229.33,229.33,229.11,229.18,4084
2024-07-02 19:19:00,229.27,229.42,229.09,229.42,5164
2024-07-02 19:20:00,229.42,229.42,229.2,229.29,1662
2024-07-02 19:21:00,229.42,229.42,229.22,229.32,3890
2024-07-02 19:22:00,229.24,229.39,229.2,229.39,2521
2024-07-02 19:23:00,229.47,229.67,229.43,229.53,5728
2024-07-02 19:24:00,229.48,229.55,229.35,229.46,4472
2024-07-02 19:25:00,229.55,229.6,229.43,229.59,2522
2024-07-02 19:26:00,229.59,229.59,229.43,229.43,3255
2024-07-02 19:27:00,229.42,229.42,229.24,229.26,2504
2024-07-02 19:28:00,229.44,229.44,229.24,229.28,2223
2024-07-02 19:29:00,229.3,229.33,229.17,229.28,3580
2024-07-02 19:30:00,229.31,229.47,229.25,229.42,4033
2024-07-02 19:31:00,229.43,229.65,229.43,229.65,3482
2024-07-02 19:32:00,229.63,229.72,229.51,229.6,14759
2024-07-02 19:33:00,229.58,229.62,229.53,229.62,2506
2024-07-02 19:34:00,229.54,229.65,229.37,229.38,2754
2024-07-02 19:35:00,229.21,229.3,229.1,229.3,5776
2024-07-02 19:36:00,229.3,229.6,229.22,229.46,9185
2024-07-02 19:37:00,229.55,229.6,229.49,229.49,3525
2024-07-02 19:38:00,229.48,229.69,229.48,229.62,7610
2024-07-02 19:39:00,229.54,230.1,229.54,229.82,29330
2024-07-02 19:40:00,229.8,230.05,229.75,229.9,6509
2024-07-02 19:41:00,229.81,229.91,229.6,229.8,8405
2024-07-02 19:42:00,229.75,229.9,229.6,229.67,3623
2024-07-02 19:43:00,229.78,229.93,229.75,229.76,7043
2024-07-02 19:44:00,229.94,229.97,229.6,229.6,16309
2024-07-02 19:45:00,229.55,229.59,229.27,229.32,8590
2024-07-02 19:46:00,229.28,229.32,228.81,228.92,12427
2024-07-02 19:47:00,228.86,228.92,228.63,228.63,16980
2024-07-02 19:48:00,228.77,228.94,228.66,228.76,7220
2024-07-02 19:49:00,228.66,228.66,228.16,228.16,17286
2024-07-02 19:50:00,228.16,228.31,228.02,228.11,11375
2024-07-02 19:51:00,228.24,228.27,227.39,227.44,36999
2024-07-02 19:52:00,227.45,227.75,227.33,227.71,30545
2024-07-02 19:53:00,227.66,227.84,227.43,227.77,26161
2024-07-02 19:54:00,227.64,227.88,227.51,227.73,31186
2024-07-02 19:55:00,227.61,227.8,227.31,227.42,24905
2024-07-02 19:56:00,227.46,227.66,227.45,227.61,15559
2024-07-02 19:57:00,227.53,227.62,227.21,227.48,43016
2024-07-02 19:58:00,227.4,227.58,227.35,227.49,50449
2024-07-02 19:59:00,227.58,227.67,227.42,227.49,84024
2024-07-03 13:30:00,223.81,225.98,223.41,225.0,118038
2024-07-03 13:31:00,224.7,225.18,224.1,224.65,39625
2024-07-03 13:32:00,224.69,224.69,223.5,223.5,31449
2024-07-03 13:33:00,223.51,224.1,223.03,223.61,43204
2024-07-03 13:34:00,223.63,224.31,222.91,223.0,31024
2024-07-03 13:35:00,222.92,223.54,222.22,223.1,30486
2024-07-03 13:36:00,223.19,223.48,222.73,223.04,17577
